dist_type,dN,dS,dNdS
introgressed,0.0284,0.0414,0.68734
introgressed,0.0,0.0017,0.0001
introgressed,0.0211,0.107,0.19679
introgressed,0.0,0.0053,0.0001
introgressed,0.0,0.016,0.0001
introgressed,0.003,0.1481,0.02036
introgressed,0.0,0.0,0.40024
introgressed,0.0109,0.0752,0.14554
introgressed,0.0201,0.0565,0.35537
introgressed,0.0224,0.1882,0.11907
introgressed,0.0008,0.0119,0.06487
introgressed,0.0,0.0,0.0001
introgressed,0.0287,0.0981,0.29251
introgressed,0.0029,0.0134,0.22056
introgressed,0.0,0.0126,0.0001
introgressed,0.0,0.0311,0.0001
introgressed,0.0063,0.0116,0.54319
introgressed,0.0062,0.0902,0.06866
introgressed,0.0,0.0,0.0001
introgressed,0.0018,0.1294,0.01409
introgressed,0.0087,0.0939,0.09238
introgressed,0.0,0.0561,0.0001
introgressed,0.0,0.0,0.59286
introgressed,0.0013,0.0021,0.59949
introgressed,0.0405,0.1127,0.35918
introgressed,0.0087,0.0781,0.1112
introgressed,0.0,0.0322,0.0001
introgressed,0.0039,0.0436,0.08873
introgressed,0.0067,0.0193,0.34748
introgressed,0.0189,0.089,0.2118
introgressed,0.0,0.0,0.0001
introgressed,0.0105,0.1542,0.06826
introgressed,0.0015,0.0179,0.08537
introgressed,0.0,0.0271,0.0001
introgressed,0.0563,0.0748,0.75246
introgressed,0.0108,0.0279,0.38767
introgressed,0.0279,0.0564,0.49533
introgressed,0.0036,0.0425,0.084
introgressed,0.0,0.0,0.0001
introgressed,0.0,0.0,0.0001
introgressed,0.0165,0.0482,0.34313
introgressed,0.0141,0.0903,0.15643
introgressed,0.0,0.0,0.0001
introgressed,0.0423,0.1169,0.36161
introgressed,0.0161,0.1073,0.1497
introgressed,0.0107,0.048,0.2229
introgressed,0.0114,0.0905,0.12597
non_introgressed,0.0506,0.0976,0.51891
non_introgressed,0.0216,0.0583,0.37048
non_introgressed,0.0077,0.0283,0.27384
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0072,0.0097,0.74253
non_introgressed,0.0421,0.0456,0.92382
non_introgressed,0.0,0.0,0.39999
non_introgressed,0.0,0.0,0.32858
non_introgressed,0.0013,0.006,0.22254
non_introgressed,0.0074,0.0488,0.15088
non_introgressed,0.0075,0.0072,1.03024
non_introgressed,0.0122,0.0918,0.13276
non_introgressed,0.0,0.1446,0.0001
non_introgressed,0.0228,0.0417,0.54731
non_introgressed,0.0025,0.0362,0.06963
non_introgressed,0.0065,0.0196,0.33224
non_introgressed,0.0172,0.0505,0.34011
non_introgressed,0.0155,0.0825,0.18788
non_introgressed,0.0117,0.1652,0.07076
non_introgressed,0.0033,0.0438,0.0763
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0315,0.1004,0.31415
non_introgressed,0.0033,0.035,0.09468
non_introgressed,0.014,0.0765,0.18322
non_introgressed,0.0375,0.0531,0.7061
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.0335,0.0624,0.5365
non_introgressed,0.0252,0.0961,0.26243
non_introgressed,0.0072,0.0568,0.12649
non_introgressed,0.0233,0.0403,0.57966
non_introgressed,0.0209,0.1166,0.17922
non_introgressed,0.0,0.0129,0.0001
non_introgressed,0.0045,0.0249,0.17949
non_introgressed,0.0298,0.058,0.51335
non_introgressed,0.0225,0.063,0.35672
non_introgressed,0.0,0.0,0.42174
non_introgressed,0.007,0.0098,0.71155
non_introgressed,0.0219,0.0383,0.57264
non_introgressed,0.0075,0.0531,0.14145
non_introgressed,0.0063,0.1156,0.05417
non_introgressed,0.0,0.0,0.0001
non_introgressed,0.064,0.1235,0.518
non_introgressed,0.0,0.0,0.06207
non_introgressed,0.0237,0.0235,1.00802
non_introgressed,0.0096,0.0926,0.10407
non_introgressed,0.0007,0.0016,0.44818
non_introgressed,0.0078,0.0453,0.17324
