ECB-GENEPAGE-23009062	ECB-GENE-23009063	LOC105443448	KEGG:spu:105443448
ECB-GENEPAGE-23009486	ECB-GENE-23009487	ervk-6	KEGG:spu:105443566
ECB-GENEPAGE-23010152	ECB-GENE-23010153	fbxo16	KEGG:spu:582406
ECB-GENEPAGE-23010487	ECB-GENE-23010488	LOC574788	KEGG:spu:574788
ECB-GENEPAGE-23010615	ECB-GENE-23010616	LOC115917952	KEGG:spu:115917952,KEGG:spu:581143
ECB-GENEPAGE-23010683	ECB-GENE-23010684	LOC592517	KEGG:spu:592517
ECB-GENEPAGE-23010770	ECB-GENE-23010771	LOC100890098	KEGG:spu:100890098
ECB-GENEPAGE-23010827	ECB-GENE-23010828	LOC583541	KEGG:spu:583541
ECB-GENEPAGE-23010900	ECB-GENE-23010901	LOC100889147	KEGG:spu:100889147
ECB-GENEPAGE-23011173	ECB-GENE-23011174	LOC578813	KEGG:spu:578813
ECB-GENEPAGE-23011216	ECB-GENE-23011217	LOC100891071	KEGG:spu:100891071
ECB-GENEPAGE-23011295	ECB-GENE-23011296	LOC576809	KEGG:spu:576809
ECB-GENEPAGE-23011831	ECB-GENE-23011832	LOC579084	KEGG:spu:579084
ECB-GENEPAGE-23011882	ECB-GENE-23011883	LOC578029	KEGG:spu:578029
ECB-GENEPAGE-23011897	ECB-GENE-23011898	LOC100890460	KEGG:spu:100890460
ECB-GENEPAGE-23011997	ECB-GENE-23011998	LOC591473	KEGG:spu:591473
ECB-GENEPAGE-23012064	ECB-GENE-23012065	LOC579697	KEGG:spu:579697
ECB-GENEPAGE-23012144	ECB-GENE-23012145	LOC373274	KEGG:spu:373274
ECB-GENEPAGE-23012498	ECB-GENE-23012499	xfinl1	KEGG:spu:100889357
ECB-GENEPAGE-23012664	ECB-GENE-23012665	LOC583925	KEGG:spu:583925
ECB-GENEPAGE-23012815	ECB-GENE-23012816	LOC594428	KEGG:spu:594428
ECB-GENEPAGE-23012850	ECB-GENE-23012851	LOC593507	KEGG:spu:593507
ECB-GENEPAGE-23012878	ECB-GENE-23012879	LOC593978	KEGG:spu:593978
ECB-GENEPAGE-23012887	ECB-GENE-23012888	LOC373385	KEGG:spu:373385
ECB-GENEPAGE-23012924	ECB-GENE-23012925	LOC590548	KEGG:spu:590548
ECB-GENEPAGE-23013046	ECB-GENE-23013047	LOC582499	KEGG:spu:582499
ECB-GENEPAGE-23013058	ECB-GENE-23013059	LOC592565	KEGG:spu:592565
ECB-GENEPAGE-23013107	ECB-GENE-23013108	LOC577465	KEGG:spu:577465
ECB-GENEPAGE-23013238	ECB-GENE-23013239	LOC581022	KEGG:spu:581022
ECB-GENEPAGE-23013264	ECB-GENE-23013265	foxx	KEGG:spu:751860
ECB-GENEPAGE-23013400	ECB-GENE-23013401	LOC100888208	KEGG:spu:100888208
ECB-GENEPAGE-23013506	ECB-GENE-23013507	LOC587550	KEGG:spu:587550
ECB-GENEPAGE-23013608	ECB-GENE-23013609	Gp96	KEGG:spu:373519
ECB-GENEPAGE-23013679	ECB-GENE-23013680	LOC576011	KEGG:spu:576011
ECB-GENEPAGE-23013696	ECB-GENE-23013697	LOC764708	KEGG:spu:764708
ECB-GENEPAGE-23013705	ECB-GENE-23013706	LOC577275	KEGG:spu:577275
ECB-GENEPAGE-23013807	ECB-GENE-23013808	LOC590379	KEGG:spu:590379
ECB-GENEPAGE-23013854	ECB-GENE-23013855	LOC594676	KEGG:spu:594676
ECB-GENEPAGE-23013866	ECB-GENE-23013867	LOC593734	KEGG:spu:593734
ECB-GENEPAGE-23013979	ECB-GENE-23013980	abcc3a	KEGG:spu:582885
ECB-GENEPAGE-23014194	ECB-GENE-23014195	LOC582117	KEGG:spu:582117
ECB-GENEPAGE-23014277	ECB-GENE-23014278	LOC593001	KEGG:spu:593001
ECB-GENEPAGE-23014307	ECB-GENE-23014308	LOC583860	KEGG:spu:583860
ECB-GENEPAGE-23014313	ECB-GENE-23014314	LOC583876	KEGG:spu:583876
ECB-GENEPAGE-23014366	ECB-GENE-23014367	LOC100891843	KEGG:spu:100891843
ECB-GENEPAGE-23014970	ECB-GENE-23014971	LOC575640	KEGG:spu:575640
ECB-GENEPAGE-23014998	ECB-GENE-23014999	LOC105437474	KEGG:spu:105437474
ECB-GENEPAGE-23015007	ECB-GENE-23015008	pgbd4	KEGG:spu:105437700
ECB-GENEPAGE-23015108	ECB-GENE-23015109	LOC582719	KEGG:spu:582719
ECB-GENEPAGE-23015196	ECB-GENE-23015197	LOC589739	KEGG:spu:589739
ECB-GENEPAGE-23015217	ECB-GENE-23015218	LOC589852	KEGG:spu:589852
ECB-GENEPAGE-23015295	ECB-GENE-23015296	LOC105443686	KEGG:spu:105443686
