SPU,Class.L1,Class.L2,Class.L3
SPU_000142,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_000547,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_000958,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_003214,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_003768,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_004531,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_005166,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_005167,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_005187,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_006067,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_007582,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_009076,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_011016,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_011736,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_012707,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_013354,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_013557,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_014618,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_014619,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_014890,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_015708,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_017571,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_017791,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_017872,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_021235,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_022116,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_022882,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_022896,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_022936,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_023283,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_025369,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_025558,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_025559,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_026008,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_026009,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_026786,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_027250,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_028613,Adhesion,Adhesion_ECMCollagen,Adhesion_ECMCollagen
SPU_000410,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_000412,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_000918,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_002551,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_003707,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_003872,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_004994,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_006930,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_007289,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_008338,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_008383,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_009244,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_009660,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_010532,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_010718,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_010895,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_011308,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_011771,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_011995,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_012233,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_012406,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_012654,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_012655,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_012656,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_013987,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_014376,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_014422,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_015728,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_015730,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_015755,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_016041,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_016678,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_017074,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_017210,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_018076,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_018477,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_018532,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_018698,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_019121,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_020203,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_021346,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_021513,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_022557,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_023847,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_023872,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_024335,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_024374,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_025156,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_025157,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_025606,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_025768,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_026575,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_027090,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_028718,Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin
SPU_001768,Adhesion,Adhesion_ECMLaminin,Adhesion_ECMLaminin
SPU_001769,Adhesion,Adhesion_ECMLaminin,Adhesion_ECMLaminin
SPU_003822,Adhesion,Adhesion_ECMLaminin,Adhesion_ECMLaminin
SPU_006118,Adhesion,Adhesion_ECMLaminin,Adhesion_ECMLaminin
SPU_006557,Adhesion,Adhesion_ECMLaminin,Adhesion_ECMLaminin
SPU_006558,Adhesion,Adhesion_ECMLaminin,Adhesion_ECMLaminin
