"Summary of tests for positive selection at the 6,520 single-copy orthologs. Also included are measures of codon bias (ENC and Nc') and GC content.  ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Official Gene ID,Common_name,Synonyms,Best Genbank Hit,Total No. of Codons,No. of Codons Analyzed,Model M0 dN,Model M0 dS,Model M0 dN/dS,Model M0 kappa,p1M8,Model M0 lnL,Model M7 lnL,Model M8 lnL,M8 vs. M7 LRT Score,Empirical P-value,Empirical Q-value,Empirical Lfdr,Effective No. of Codons (ENC),Novembre's Nc',GC Content,3rd position GC Content,Intron GC Content,Flanking Region GC Content
SPU_003768,Sp-3Apcol,none,NP_999631,1306,1183,0.1585,0.345,0.45936,2.07119,0.07259,-9052.76,-8850.63,-8734.11,233.043,0,0,0.00727891,49.91,50.9769,0.556,0.287,0.357056,0.329
SPU_010829,Sp-Ef2,Translational elongation factor 2,AAK01430,901,800,0.1525,0.4731,0.32237,1.60557,0.03811,-6210.68,-6032.99,-5981.68,102.618,0,0,0.00727891,50.19,43.7829,0.508,0.579,0.359612,0.393076
SPU_008159,Sp-Kcnk13,Potassium channel subfamily K member 13 (Tandem pore domain halothane inhibited potassium channel 1) (THIK-1),24636284,422,405,0.0789,0.2087,0.37787,1.45888,0.03622,-2508.76,-2442.59,-2396.75,91.6823,0,0,0.00727891,60.82,54.5591,0.483,0.515,0.36709,0.3945
SPU_018532,Sp-EgfibL,fibropellin Ib-like,AAA62163.1,700,439,0.2683,0.3074,0.87282,2.23034,0.18274,-3758.74,-3696.84,-3657,79.6741,0,0,0.00727891,59.75,57.6742,0.462,0.411,0.345715,0.3325
SPU_006534,Sp-Ebr1_5,egg bindin receptor 1-5; hyalin-like,NP_999830.1,1243,691,0.1744,0.3683,0.47348,2.0495,0.04489,-5454.74,-5379.85,-5346.45,66.7909,0,0,0.00727891,60.17,55.0338,0.503,0.528,0.350134,0.355
SPU_008462,Sp-Hypp_548,hypothetical protein-548,XP_002227723.1,906,684,0.2119,0.2984,0.71005,1.87709,0.11522,-5480.89,-5416.54,-5385.62,61.8531,0,0,0.00727891,59.46,55.6923,0.488,0.48,0.346713,0.333667
SPU_006645,Sp-Gdi1_1,GDP dissociation inhibitor 1 - duplicate,none,197,184,0.2542,0.2781,0.9138,1.07059,0.10478,-1533.1,-1501.27,-1470.58,61.3796,0,0,0.00727891,51.98,47.623,0.426,0.41,0.362271,0.3495
SPU_000526,Sp-Ebr1,"EBR1, egg bindin receptor 1",NM_214665,1653,1428,0.1849,0.518,0.35689,2.09868,0.04962,-12047.1,-11876.6,-11846.6,59.8353,0,0,0.00727891,53.71,54.2186,0.47,0.403,0.341163,0.3595
SPU_009154,Sp-Hypp_42,hypothetical protein-42,none,1709,1017,0.2174,0.3455,0.62942,2.11414,0.07354,-8324.2,-8241.63,-8212.49,58.2836,0,0,0.00727891,55.23,52.2636,0.472,0.441,0.335145,0.304304
SPU_003671,Sp-Lrp12,low density lipoprotein-related protein 12,EAW91897.1,1254,761,0.1429,0.4531,0.31528,1.64848,0.03881,-5801.65,-5692,-5664.21,55.5818,0,0,0.00727891,57.89,55.4063,0.475,0.456,0.359103,0.332392
SPU_018517,Sp-Hypp_915,hypothetical protein-915; fibrosurfin-like,CAC20782.1,602,424,0.2816,0.3459,0.81435,2.18197,0.10876,-3761.21,-3716.47,-3689.46,54.0227,0,0,0.00727891,56.89,58.8856,0.447,0.386,0.338375,0.346
SPU_002551,Sp-Egfiii,fibropellin c,AAA30045.1,494,357,0.1939,0.4145,0.4678,1.8225,0.0279,-2945.56,-2879.22,-2852.29,53.8755,0,0,0.00727891,60.07,54.1416,0.492,0.507,0.372154,0.375
SPU_016836,Sp-EMI/Egf,MEGF10-like,none,1848,1709,0.1103,0.2706,0.40779,2.16834,0.04352,-11640,-11552.3,-11525.6,53.4095,0,0,0.00727891,57.67,57.892,0.512,0.41,0.365147,0.3565
SPU_005187,Sp-3Acolf,none,NP_999631,432,384,0.1155,0.2886,0.40011,1.49912,0.05093,-2563.63,-2516.26,-2490.47,51.5855,0,0,0.00727891,48.13,54.046,0.518,0.276,0.34159,0.396
SPU_003825,Sp-14-3-3e,14-3-3 epsilon,none,259,152,0.0901,0.2546,0.35385,1.29587,0.02586,-959.884,-923.008,-897.408,51.1994,0,0,0.00727891,55.32,46.9327,0.493,0.586,0.38456,0.341
SPU_022116,Sp-Colf_6,none,NP_690850,508,270,0.1226,0.3038,0.40343,2.19001,0.09759,-1912.92,-1873.97,-1848.53,50.8735,0,0,0.00727891,46.93,54.4303,0.53,0.263,0.345145,0.332821
SPU_003110,Sp-Eif5A,eukaryotic translation initiation factor 5A,NP_001961,146,132,0.2916,0.595,0.49016,1.18094,0.05085,-1274.55,-1219.33,-1195.14,48.3926,0,0,0.00727891,58.33,58.9581,0.419,0.342,0.371027,0.3675
SPU_015286,Sp-Hypp_111,hypothetical protein-111,none,1134,554,0.0716,0.2214,0.32339,2.97469,0.00164,-3309.06,-3296.48,-3272.51,47.9534,0,0,0.00727891,55.38,54.735,0.457,0.419,0.317462,0.3635
SPU_024408,Sp-Srcr204,none,none,842,450,0.156,0.2596,0.60113,2.46108,0.08152,-3269.16,-3234.46,-3211.04,46.8517,0,0,0.00727891,57.55,49.8284,0.517,0.52,0.337799,0.334359
SPU_015864,Sp-Lphn3L_2,latrophilin 3-like-2; KIAA0768 protein-like,BAA34488.1,407,305,0.1567,0.2953,0.53058,2.91042,0.0152,-2229.94,-2204.08,-2181.32,45.5117,0,0,0.00727891,59.96,57.4695,0.472,0.476,0.367591,0.361
SPU_028613,Sp-Fcolf_2,none,CAH10073,954,824,0.124,0.3728,0.33268,2.41312,0.10048,-6184.85,-6098.33,-6075.85,44.9579,0,0,0.00727891,52.53,55.8786,0.551,0.366,0.348621,0.345641
SPU_000649,Sp-Tnfaip3,"tumor necrosis factor, alpha-induced protein 3",BAE30799.1,1187,941,0.1732,0.3603,0.48063,2.13365,0.01947,-7344.27,-7260.61,-7238.45,44.3173,0,0,0.00727891,56.28,53.0841,0.516,0.531,0.337206,0.3225
SPU_007625,Sp-Nmur2,neuromedin U receptor 2,CAI25254.1,408,378,0.2315,0.4894,0.47299,1.56427,0.06717,-3343.4,-3260.34,-3238.77,43.1252,0,0,0.00727891,61,57.4148,0.452,0.513,NULL,0.367
SPU_021274,Sp-PkdL,"PKD, REJ ",none,972,805,0.164,0.3695,0.44373,2.05918,0.05654,-6231.75,-6152.2,-6132.25,39.9166,0,0,0.00727891,59.57,56.5384,0.492,0.555,0.363742,0.406
SPU_019495,Sp-Fam38b,"family with sequence similarity 38, member B",BAH13798.1,926,696,0.0745,0.4187,0.17802,2.16275,0.00603,-4701.34,-4638.48,-4618.53,39.9053,0,0,0.00727891,54.38,43.6193,0.49,0.598,0.344887,0.378
SPU_010116,Sp-DagL,Dystroglycan like,none,1843,1398,0.1055,0.1479,0.71364,3.23562,0.07855,-8609.2,-8582.91,-8563.33,39.1701,0,0,0.00727891,51.79,54.101,0.429,0.352,0.322581,0.3315
SPU_026241,Sp-Srcr212,none,none,380,279,0.2231,0.3437,0.64922,2.32997,0.04408,-2325.27,-2295.86,-2276.45,38.8191,0,0,0.00727891,59.49,51.1735,0.548,0.557,0.353994,0.378
SPU_012743,Sp-Ars_3,Arylsulfatase precursor (AS) (Aryl-sulfate sulphohydrolase) (ARS),114228,552,462,0.1202,0.4543,0.26466,1.92152,0.01095,-3461.92,-3399.85,-3380.53,38.6348,0,0,0.00727891,54.97,47.8324,0.56,0.629,0.362525,0.365
SPU_025832,Sp-Bptf,bromodomain PHD finger transcription factor,NP_872579.2,3508,2724,0.087,0.2335,0.37269,2.2907,0.01251,-17180,-17089.1,-17070,38.1535,0,0,0.00727891,55.68,55.7321,0.479,0.45,0.349115,0.372
SPU_001983,Sp-NmbrL,neuromedin B receptor-like,ACD50931.1,413,363,0.0928,0.2763,0.33586,2.61907,0.01864,-2406.65,-2372.47,-2353.77,37.3912,0,0,0.00727891,58.54,55.7259,0.471,0.506,NULL,0.366
SPU_010054,Sp-My18A putative homolog,myosin XVIIIA,127773,1963,1623,0.0442,0.4007,0.11033,1.52542,0.01813,-9535.68,-9383.19,-9364.58,37.2137,0,0,0.00727891,40.62,33.0205,0.548,0.708,0.359926,0.371
