introgression_tract,overlapping_gene,gene_name,overlapping_bases,gene_length,percent_introgressed,gene_coordinates,gene_info
NW-022145607.1:42908550-43892004,LOC115928112,uncharacterized LOC115928112,8199,8199,100.0,NW_022145607.1:42966350-42974549, Sp-PolypL_955|Sp-PolypL|polyprotein-like|SPU_005586|SPU_024368|SPU_005587|polyprotein-like-55 Manually curated
NW-022145607.1:42908550-43892004,LOC115927985,uncharacterized LOC115927985,1975,1975,100.0,NW_022145607.1:43224952-43226927, Manually curated
NW-022145607.1:42908550-43892004,LOC105441710,uncharacterized LOC105441710,10583,10583,100.0,NW_022145607.1:43214693-43225276, Manually curated
NW-022145607.1:42908550-43892004,LOC105443317,uncharacterized LOC105443317,12249,12249,100.0,NW_022145607.1:43331364-43343613, Manually curated
NW-022145607.1:42908550-43892004,LOC115927986,uncharacterized LOC115927986,8928,8928,100.0,NW_022145607.1:43524044-43532972, Manually curated
NW-022145607.1:42908550-43892004,LOC578133,pars2,13683,3415,24.957977051816123,NW_022145607.1:43888589-43902272,"['prolyl-tRNA synthetase 2, mitochondrial', ' LOC578133|prolyl-tRNA synthetase|Sp-Pars2|SPU_024072|SPU_008750|probable proline--tRNA ligase, mitochondrial|LOC110989971 Manually curated']"
NW-022145603.1:6213167-6555507,LOC115925390,uncharacterized LOC115925390,5910,5910,100.0,NW_022145603.1:6447174-6453084, Manually curated
NW-022145603.1:6213167-6555507,LOC105440436,fibropellin-1-like,37780,37780,100.0,NW_022145603.1:6336482-6374262, hypothetical protein-605; polyprotein-like|Sp-Hypp_605|SPU_010079|hypothetical protein-605|polyprotein-like|Sp-Hypp_1425|SPU_003024|hypothetical protein-1425|SPU_017396|Sp-GagpL_1|SPU_014714|gag-like protein-1 Manually curated
NW-022145603.1:6213167-6555507,LOC115925389,uncharacterized LOC115925389,38162,38162,100.0,NW_022145603.1:6437398-6475560, Manually curated
NW-022145599.1:11045029-11347318,LOC105442169,low-density lipoprotein receptor-related protein 1-like,10895,10895,100.0,NW_022145599.1:11062450-11073345, Manually curated
NW-022145599.1:11045029-11347318,LOC115923723,somatostatin receptor type 2-like,2489,2489,100.0,NW_022145599.1:11099427-11101916, Sp-Gpr1L_8|SPU_018541|G protein-coupled receptor 1-like-8|Sp-Gpr1L|SPU_006904|G protein-coupled receptor 1-like Manually curated
NW-022145599.1:11045029-11347318,LOC115923724,histidine-rich glycoprotein-like,6069,6069,100.0,NW_022145599.1:11110603-11116672, Manually curated
NW-022145599.1:11045029-11347318,LOC115923475,uncharacterized LOC115923475,5457,5457,100.0,NW_022145599.1:11176358-11181815, Manually curated
NW-022145599.1:11045029-11347318,LOC115923727,somatostatin receptor type 2-like,2489,2489,100.0,NW_022145599.1:11233256-11235745, Manually curated
NW-022145599.1:11045029-11347318,LOC115923728,histidine-rich glycoprotein-like,4616,4616,100.0,NW_022145599.1:11244457-11249073, Manually curated
NW-022145599.1:11045029-11347318,LOC100893171,somatostatin receptor type 2-like,2516,2516,100.0,NW_022145599.1:11329991-11332507, SPU_027201|Sp-Sst5L|SPU_000140|somatostatin receptor type 5 like Manually curated
NW-022145599.1:11045029-11347318,LOC105444403,toll-like receptor 4,2922,292,9.99315537303217,NW_022145599.1:11347026-11349948, Sp-TlrP56|SPU_030112|Sp-TlrP57|SPU_030113|Sp-TlrP55|SPU_030111 Manually curated
NW-022145599.1:11045029-11347318,LOC115923726,uncharacterized LOC115923726,7571,7571,100.0,NW_022145599.1:11149964-11157535, Manually curated
NW-022145599.1:11045029-11347318,LOC105443557,hyphal wall protein 1-like,27731,27731,100.0,NW_022145599.1:11170648-11198379, hypothetical protein-1302; low density lipoprotein-related protein 1B (deleted in tumors)-like|deleted in tumors|hypothetical protein-1302; low density lipoprotein-related protein 1B|Sp-Hypp_1302|SPU_001082|hypothetical protein-1302|low density lipoprotein-related protein 1B (deleted in tumors)-like Manually curated
NW-022145599.1:11045029-11347318,LOC105445064,low-density lipoprotein receptor-related protein 1B-like,10544,10544,100.0,NW_022145599.1:11278379-11288923, hypothetical protein-1395; low density lipoprotein-related protein 2-like|Sp-Hypp_1395|SPU_002440|hypothetical protein-1395|low density lipoprotein-related protein 2-like Manually curated
NW-022145602.1:23946416-24183233,LOC115925113,uncharacterized LOC115925113,11071,11071,100.0,NW_022145602.1:24023612-24034683, Manually curated
NW-022145602.1:23946416-24183233,LOC115925114,deleted in malignant brain tumors 1 protein-like,2044,2044,100.0,NW_022145602.1:24053938-24055982, Manually curated
NW-022145602.1:23946416-24183233,LOC100893478,deleted in malignant brain tumors 1 protein,3207,3207,100.0,NW_022145602.1:24016643-24019850, Manually curated
NW-022145602.1:23946416-24183233,LOC582948,deleted in malignant brain tumors 1 protein,30348,30348,100.0,NW_022145602.1:23974978-24005326, Sp-Srcr102|SPU_011752|SPU_007741 Manually curated
NW-022145609.1:18878727-19111843,LOC115928512,uncharacterized LOC115928512,3667,3667,100.0,NW_022145609.1:19032428-19036095, Sp-Hypp_662|SPU_011813|hypothetical protein-662|L1 cell adhesion molecule-like Manually curated
NW-022145609.1:18878727-19111843,LOC115928513,NXPE family member 3-like,7406,7406,100.0,NW_022145609.1:19060477-19067883, SPU_014532 Manually curated
NW-022145609.1:18878727-19111843,LOC115928430,uncharacterized LOC115928430,28194,28194,100.0,NW_022145609.1:18909115-18937309, Sp-Hypp_2229|SPU_015769|hypothetical protein-2229|pol polyprotein like-279|Sp-PppL_279|SPU_023447 Manually curated
NW-022145609.1:18878727-19111843,LOC115928475,uncharacterized LOC115928475,1700,1700,100.0,NW_022145609.1:19037523-19039223, Manually curated
NW-022145597.1:12414985-12643958,LOC115922469,uncharacterized LOC115922469,915,915,100.0,NW_022145597.1:12609963-12610878, SPU_008375|Sp-Endrvt67 Manually curated
NW-022145597.1:12414985-12643958,LOC100888914,uncharacterized LOC100888914,30185,200,0.6625807520291536,NW_022145597.1:12385000-12415185, SPU_008624|SPU_016472|Sp-Hypp_3051|hypothetical protein-3051 Manually curated
NW-022145594.1:30932798-31143091,LOC589653,heat shock 70 kDa protein IV-like,3162,3162,100.0,NW_022145594.1:31120779-31123941, SPU_010672|Sp-Hsp8|SPU_013289|Sp-Hsp701F Manually curated
NW-022145594.1:30932798-31143091,LOC115921321,uncharacterized LOC115921321,9497,9497,100.0,NW_022145594.1:30941636-30951133, SPU_016556 Manually curated
NW-022145594.1:30932798-31143091,LOC115921036,uncharacterized LOC115921036,8487,8487,100.0,NW_022145594.1:31009405-31017892, SPU_011622|SPU_005993|Sp-Nlr92 Manually curated
NW-022145594.1:30932798-31143091,LOC105443124,uncharacterized LOC105443124,35165,35165,100.0,NW_022145594.1:31079630-31114795, Sp-Nlr92|SPU_008029|SPU_005993 Manually curated
NW-022145594.1:30932798-31143091,LOC594705,intraflagellar transport protein 57 homolog,17070,14576,85.38957234915055,NW_022145594.1:31128515-31145585, SPU_009260|Sp-Ift57_1|SPU_009515|SPU_012240|Sp-Znf259l Manually curated
NW-022145594.1:30932798-31143091,LOC105445239,uncharacterized LOC105445239,24744,5690,22.995473650177818,NW_022145594.1:30913744-30938488, SPU_006456|Sp-Nlr161|SPU_012424 Manually curated
NW-022145597.1:29351868-29558073,LOC583046,lzic,11587,4504,38.87114870113058,NW_022145597.1:29344785-29356372,"['leucine zipper and CTNNBIP1 domain containing', ' LOC583046|Sp-Lzic|SPU_006400|leucine zipper and CTNNBIP1 domain containing|protein LZIC|LOC110979163 Manually curated']"
NW-022145597.1:29351868-29558073,LOC100890027,uncharacterized LOC100890027,3605,3605,100.0,NW_022145597.1:29454752-29458357, Manually curated
NW-022145597.1:29351868-29558073,LOC115922506,BRCA2-interacting transcriptional repressor EMSY-like,5670,5670,100.0,NW_022145597.1:29473272-29478942, Manually curated
NW-022145597.1:29351868-29558073,LOC115922507,uncharacterized LOC115922507,8241,8241,100.0,NW_022145597.1:29500458-29508699, Manually curated
NW-022145597.1:29351868-29558073,LOC752978,uncharacterized LOC752978,19208,19208,100.0,NW_022145597.1:29529109-29548317, Sp-Il1r/Rs1|SPU_013950 Manually curated
NW-022145597.1:29351868-29558073,LOC115922508,uncharacterized LOC115922508,43482,203,0.46685985005289543,NW_022145597.1:29557870-29601352, SPU_026659|SPU_007520|SPU_011945|SPU_003622|SPU_005459|SPU_027488|SPU_012454|SPU_022829|SPU_010334|SPU_021940|SPU_000272|SPU_016398|SPU_011972|SPU_023954|SPU_024017|SPU_016619|SPU_021614|SPU_004066|SPU_000949|SPU_000822|SPU_011417|SPU_005733|SPU_020336|SPU_022083|SPU_015739|SPU_023716|SPU_024707|SPU_013867|SPU_028729|SPU_019507|SPU_021410|SPU_024527|SPU_013925|SPU_011193 Manually curated
NW-022145597.1:29351868-29558073,LOC115922763,BRCA2-interacting transcriptional repressor EMSY-like,11542,11542,100.0,NW_022145597.1:29479788-29491330, Sp-C11orf30L|SPU_010095|human chromosome 11 open reading frame 30-like Manually curated
NW-022145600.1:8741283-8933886,LOC115924268,toll-like receptor 4,1359,1359,100.0,NW_022145600.1:8758212-8759571, Manually curated
NW-022145600.1:8741283-8933886,LOC115924324,toll-like receptor 2 type-2,959,959,100.0,NW_022145600.1:8842132-8843091, Manually curated
NW-022145600.1:8741283-8933886,LOC115924325,toll-like receptor 4,984,984,100.0,NW_022145600.1:8877018-8878002, Manually curated
NW-022145600.1:8741283-8933886,LOC578503,"protein Skeletor, isoforms B/C",21911,11151,50.89224590388389,NW_022145600.1:8922735-8944646, SPU_005387 Manually curated
NW-022145615.1:15512550-15688858,LOC115920503,kinesin-like protein KIN-14M,26047,26047,100.0,NW_022145615.1:15547208-15573255, Manually curated
NW-022145615.1:15512550-15688858,LOC115920726,uncharacterized LOC115920726,11254,11254,100.0,NW_022145615.1:15641658-15652912, Manually curated
NW-022145615.1:15512550-15688858,LOC100888603,coiled-coil domain-containing protein 34,32083,26465,82.48916871863604,NW_022145615.1:15662393-15694476, Sp-Rt25|SPU_005589|reverse transcriptase-25 Manually curated
NW-022145615.1:15512550-15688858,LOC115920505,kinesin-like protein KIN-14M,26057,26057,100.0,NW_022145615.1:15594534-15620591, Manually curated
NW-022145605.1:817638-983535,LOC115926578,uncharacterized LOC115926578,9136,9136,100.0,NW_022145605.1:919177-928313, Manually curated
NW-022145605.1:817638-983535,LOC115926580,uncharacterized LOC115926580,1698,1698,100.0,NW_022145605.1:940256-941954, Manually curated
NW-022145605.1:817638-983535,LOC115926581,uncharacterized LOC115926581,7985,7985,100.0,NW_022145605.1:941893-949878, Manually curated
NW-022145605.1:817638-983535,LOC100893837,"alanine--tRNA ligase, cytoplasmic",89309,89309,100.0,NW_022145605.1:826549-915858, Sp-AarsL|SPU_003180|alanyl-tRNA synthetase-like|SPU_019386 Manually curated
NW-022145605.1:817638-983535,LOC752657,putative nuclease HARBI1,7462,7462,100.0,NW_022145605.1:844700-852162, Manually curated
NW-022145605.1:817638-983535,LOC757040,keratin-associated protein 5-2,18472,18472,100.0,NW_022145605.1:961216-979688, SPU_006995|LOC110980652 Manually curated
NW-022145605.1:817638-983535,LOC115926579,uncharacterized LOC115926579,3153,3153,100.0,NW_022145605.1:916031-919184, Manually curated
NW-022145602.1:17249642-17414882,LOC105447557,uncharacterized LOC105447557,12624,4900,38.8149556400507,NW_022145602.1:17241918-17254542," ankyrin2,3/unc44-282 |Sp-Unc44_282|SPU_022342|SPU_005974|SPU_007201 Manually curated"
NW-022145602.1:17249642-17414882,LOC105447556,uncharacterized LOC105447556,9660,9660,100.0,NW_022145602.1:17266370-17276030, Manually curated
NW-022145602.1:17249642-17414882,LOC115925091,ankyrin-3-like,5245,5245,100.0,NW_022145602.1:17301098-17306343, Manually curated
NW-022145594.1:51229290-51390085,LOC115918450,uncharacterized LOC115918450,4721,65,1.3768269434441855,NW_022145594.1:51224634-51229355, SPU_021241 Manually curated
NW-022145594.1:51229290-51390085,LOC115921439,uncharacterized LOC115921439,9189,9189,100.0,NW_022145594.1:51254557-51263746, SPU_007039|Sp-Echn24|SPU_002768|Sp-EchnL_4 Manually curated
NW-022145594.1:51229290-51390085,LOC115921209,lactadherin-like,14291,14291,100.0,NW_022145594.1:51240988-51255279, SPU_007039|Sp-Echn24|SPU_021240 Manually curated
NW-022145602.1:11344166-11500739,LOC583670,fibropellin-1,89199,18762,21.03386809269162,NW_022145602.1:11273729-11362928,"  Protoheme ferro-lyase | Heme synthetase |ferrochelatase|Sp-Fech|AP1 endonuclease-like|hypothetical protein-2641|Sp-Hypp_2641|Sp-Prss12L_3| protease, serine, 12 neurotrypsin (motopsin)-like-3|SPU_025195|SPU_007454|SPU_022995|SPU_028305|SPU_001967 Manually curated"
NW-022145602.1:11344166-11500739,LOC115925022,EGF-like repeat and discoidin I-like domain-containing protein 3,16122,16122,100.0,NW_022145602.1:11358996-11375118, Sp-Endrvt95|SPU_016967|endonuclease-reverse transcriptase-95 Manually curated
NW-022145599.1:9461526-9616405,LOC105444520,sacsin-like,34641,29293,84.56164660373547,NW_022145599.1:9456178-9490819, spastic ataxia of Charlevoix-Saguenay (sacsin)-2 |Sp-Sacs-2|SPU_015036 Manually curated
NW-022145599.1:9461526-9616405,LOC115923720,sacsin-like,16068,16068,100.0,NW_022145599.1:9508691-9524759, Manually curated
NW-022145599.1:9461526-9616405,LOC105447085,uncharacterized LOC105447085,6168,6168,100.0,NW_022145599.1:9530386-9536554, Manually curated
