scaffold	length (bp)	length spanned by first and last sites (bp)	number of sites in all_sites alignment	number nexus sites in phmm alignment	number posterior probabilities > threshold	number_tracts	number_ten_kb_tracts	combined_tract_length	combined_tract_length_10kb	fully_introgressed_genes	partially_introgressed_genes
NW_022145612.1	62154208	62139653	8851279	1095607	7453	289	7	2983093	978414	20	293
NW_022145594.1	53101916	53037649	2263722	325499	4867	316	6	3222804	2171678	37	159
NW_022145606.1	52437917	52286287	1284640	189122	8387	398	39	5611330	4620611	73	161
NW_022145607.1	45798072	45776597	3034526	411591	9972	408	14	2954063	1800995	33	165
NW_022145611.1	45225044	44925678	7022008	849905	6936	268	2	2492713	731247	9	261
NW_022145605.1	42589791	42561710	3492373	466830	9557	266	9	2472633	1236980	25	180
NW_022145609.1	39838600	39804880	2858534	383404	13374	468	27	3160793	1865477	27	183
NW_022145613.1	39667378	39638659	5160080	675139	5600	310	3	2148206	670709	7	193
NW_022145599.1	37767046	37754394	3468588	462774	2552	104	0	2428141	1369333	30	148
NW_022145598.1	37305039	37266892	2610142	365775	9439	459	15	3082323	1826377	30	141
NW_022145600.1	37282239	37256058	3729855	481693	6970	334	9	2983359	1599336	41	183
NW_022145610.1	35917773	35901468	3067863	409101	3801	201	1	1902993	829385	23	139
NW_022145615.1	35239632	35231119	4792189	624021	0	0	0	507077	234807	3	33
NW_022145601.1	35007347	35002337	2808357	380282	3824	122	8	2214658	1577387	14	111
NW_022145603.1	34285068	34163790	1815098	256341	6025	279	14	2621912	1809064	26	113
NW_022145597.1	34141700	34037707	2821515	379366	1998	36	2	1126611	628894	16	64
NW_022145604.1	33742549	33524458	2209513	302667	3919	137	8	2078074	1221733	26	107
NW_022145614.1	33637615	33598179	4678977	579266	2781	120	1	1362923	304067	3	151
NW_022145596.1	33320444	33264097	4007847	524147	2817	135	3	1443917	601230	12	131
NW_022145602.1	30021120	29961607	1608960	232686	2990	192	4	2036611	1244374	23	84
NW_022145595.1	29984350	29922500	2957680	388578	0	0	0	336207	154405	3	30
