introgression_tract,Sdro,Sfra,Spal,Hpul,Overlapping Gene,Gene Name,Gene Length,Overlapping Bases,Percent Introgressed,Gene Coordinates,ECB Gene ID,Gene Synonyms,Curation Status,Gene Info,Echinobase GO,Echinobase KO,Tu GO
NW-022145607.1:15906970-15987875,14.17,18.87,6.29,17.8,LOC591631,tubulin alpha-8 chain-like,2185,2185,100.0,NW_022145607.1:15910808-15912993,ECB-GENEPAGE-23125079,Sp-Atub12|SPU_010531,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:15906970-15987875,14.17,18.87,6.29,17.8,LOC590787,biogenesis of lysosome-related organelles complex 1 subunit 3,4181,4181,100.0,NW_022145607.1:15968928-15973109,ECB-GENEPAGE-23125094,SPU_001202,partially curated,n/a,n/a,KEGG:spu:590787,n/a
NW-022145607.1:15906970-15987875,14.17,18.87,6.29,17.8,LOC100893458,transmembrane prolyl 4-hydroxylase,21099,21099,100.0,NW_022145607.1:15917787-15938886,ECB-GENEPAGE-23125084,SPU_024247,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:15906970-15987875,14.17,18.87,6.29,17.8,LOC100888553,transmembrane prolyl 4-hydroxylase,17609,17609,100.0,NW_022145607.1:15945052-15962661,ECB-GENEPAGE-23125090,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:16110034-16110098,49.19,57.28,19.05,56.84,LOC588416,HIV Tat-specific factor 1 homolog,16472,64,0.38853812530354537,NW_022145607.1:16109883-16126355,ECB-GENEPAGE-23125098,Sp-Htatsf1L_2|SPU_015881|HIV TAT specific factor 1|Sp-Htatsf1L|SPU_010689,partially curated,n/a,"GO:0000398,GO:0003723",n/a,n/a
NW-022145610.1:29547255-29672099,15.42,26.89,10.78,15.11,LOC105438240,caldesmon-like,3329,3329,100.0,NW_022145610.1:29598458-29601787,ECB-GENEPAGE-23144379,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29547255-29672099,15.42,26.89,10.78,15.11,LOC115929107,leucine-rich repeat extensin-like protein 5,780,780,100.0,NW_022145610.1:29612750-29613530,ECB-GENEPAGE-23144383,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29547255-29672099,15.42,26.89,10.78,15.11,LOC105445881,myosin-11-like,3576,3576,100.0,NW_022145610.1:29628831-29632407,ECB-GENEPAGE-23144387,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29547255-29672099,15.42,26.89,10.78,15.11,LOC105440054,uncharacterized LOC105440054,13956,13956,100.0,NW_022145610.1:29562097-29576053,ECB-GENEPAGE-23144375,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29547255-29672099,15.42,26.89,10.78,15.11,LOC115929108,probable DNA double-strand break repair Rad50 ATPase,3394,2845,83.8243959929287,NW_022145610.1:29669254-29672648,ECB-GENEPAGE-23144391,Sp-Hypp_2014|SPU_012038|hypothetical protein-2014,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:5672035-5776844,39.15,38.65,7.12,8.05,LOC115927180,uncharacterized LOC115927180,2446,2446,100.0,NW_022145606.1:5697225-5699671,ECB-GENEPAGE-23114889,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:5672035-5776844,39.15,38.65,7.12,8.05,LOC105438637,probable serine/threonine-protein kinase roco11,7098,7098,100.0,NW_022145606.1:5679733-5686831,ECB-GENEPAGE-23114885,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145594.1:35325203-35422948,10.0,10.45,6.66,7.17,LOC100894090,caspase-1-like,3631,3631,100.0,NW_022145594.1:35343094-35346725,ECB-GENEPAGE-23032757,Sp-IceL1a|SPU_002922|SPU_002921,partially curated,n/a,n/a,n/a,"Immunity,Immunity_Signal,Immunity_Signal"
NW-022145594.1:35325203-35422948,10.0,10.45,6.66,7.17,LOC115921489,caspase Dronc-like,3226,3226,100.0,NW_022145594.1:35339845-35343071,ECB-GENEPAGE-23032753,SPU_002921|Sp-IceL1a,partially curated,n/a,n/a,n/a,"Immunity,Immunity_Signal,Immunity_Signal"
NW-022145594.1:35325203-35422948,10.0,10.45,6.66,7.17,LOC100889455,uncharacterized LOC100889455,18603,18603,100.0,NW_022145594.1:35366581-35385184,ECB-GENEPAGE-23032761,SPU_009138|Sp-Hypp_571|hypothetical protein-2111; hemicentin 1-like|hypothetical protein-2111|hemicentin 1-like|Sp-Hypp_2111|SPU_013865,partially curated,n/a,n/a,n/a,n/a
NW-022145594.1:35325203-35422948,10.0,10.45,6.66,7.17,LOC577169,caspase-3-like,9228,9228,100.0,NW_022145594.1:35386925-35396153,ECB-GENEPAGE-23032766,SPU_002923|Sp-IceL1b,partially curated,n/a,n/a,n/a,"Immunity,Immunity_Signal,Immunity_Signal"
NW-022145606.1:13947352-14043178,23.01,50.13,10.92,25.82,LOC115927241,uncharacterized LOC115927241,2612,2612,100.0,NW_022145606.1:14037392-14040004,ECB-GENEPAGE-23116282,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29838283-29928077,11.74,50.95,10.81,15.09,LOC115929134,ATP-dependent DNA helicase pfh1-like,4061,4061,100.0,NW_022145610.1:29842724-29846785,ECB-GENEPAGE-23144406,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29838283-29928077,11.74,50.95,10.81,15.09,LOC115929135,uncharacterized LOC115929135,3790,3790,100.0,NW_022145610.1:29856323-29860113,ECB-GENEPAGE-23144413,Sp-Hypp_355|SPU_002397|hypothetical protein-355|endonuclease-reverse transcriptase-like,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29838283-29928077,11.74,50.95,10.81,15.09,LOC115929110,vicilin-like seed storage protein At2g18540,11791,11791,100.0,NW_022145610.1:29880402-29892193,ECB-GENEPAGE-23144424,SPU_010376,partially curated,n/a,n/a,n/a,n/a
NW-022145605.1:8503981-8591824,12.19,17.4,7.66,26.88,LOC115926354,fibropellin-3-like,4260,4260,100.0,NW_022145605.1:8559714-8563974,ECB-GENEPAGE-23106576,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145605.1:8503981-8591824,12.19,17.4,7.66,26.88,LOC115926353,phosphatidylinositol 4-kinase alpha-like,5973,2073,34.70617780010045,NW_022145605.1:8500081-8506054,ECB-GENEPAGE-23106559,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145605.1:8503981-8591824,12.19,17.4,7.66,26.88,LOC752690,dynein regulatory complex subunit 2,14564,14564,100.0,NW_022145605.1:8532846-8547410,ECB-GENEPAGE-23106566,SPU_016837,partially curated,n/a,n/a,n/a,n/a
NW-022145605.1:8503981-8591824,12.19,17.4,7.66,26.88,LOC115926640,putative L-aspartate dehydrogenase,10932,10932,100.0,NW_022145605.1:8547923-8558855,ECB-GENEPAGE-23106572,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145605.1:8503981-8591824,12.19,17.4,7.66,26.88,LOC105441103,delta-like protein B,7494,7004,93.46143581531892,NW_022145605.1:8584820-8592314,ECB-GENEPAGE-23106586,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145605.1:30602478-30602863,49.39,36.76,12.18,29.39,LOC577034,ARF GTPase-activating protein GIT2,56854,385,0.677173110071411,NW_022145605.1:30571809-30628663,ECB-GENEPAGE-23111764,Sp-Wdr24|SPU_012866|WD repeat domain 24|Sp-Git1|SPU_020518|G protein-coupled receptor kinase interacting ArfGAP 1|ARF GTPase-activating protein GIT1|Sp-Hypp_1787|SPU_008494|hypothetical protein-1787|latrophilin 2-like|Sp-Hypp_2329|SPU_017489|hypothetical protein-2329,partially curated,n/a,n/a,n/a,n/a
NW-022145605.1:30606960-30679296,27.73,35.44,12.19,7.29,LOC115926473,corticotropin-releasing factor receptor 1-like,8017,8017,100.0,NW_022145605.1:30651528-30659545,ECB-GENEPAGE-23111768,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:3663286-3733392,16.02,19.23,13.68,10.4,LOC115928898,uncharacterized LOC115928898,1057,949,89.78240302743615,NW_022145609.1:3663178-3664235,ECB-GENEPAGE-23131095,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:3663286-3733392,16.02,19.23,13.68,10.4,LOC115928836,thioredoxin domain-containing protein 12-like,4339,4339,100.0,NW_022145609.1:3715689-3720028,ECB-GENEPAGE-23131102,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:3663286-3733392,16.02,19.23,13.68,10.4,LOC115928751,protein sidekick-2-like,7482,981,13.111467522052928,NW_022145609.1:3732411-3739893,ECB-GENEPAGE-23131106,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145594.1:10217505-10279136,14.58,9.63,6.87,14.69,LOC115920902,uncharacterized LOC115920902,2611,2611,100.0,NW_022145594.1:10244445-10247056,ECB-GENEPAGE-23028715,SPU_027102|Sp-Hypp_1197|SPU_010489,partially curated,n/a,n/a,n/a,n/a
NW-022145594.1:10217505-10279136,14.58,9.63,6.87,14.69,LOC115918416,centrosomal protein of 164 kDa-like,5294,97,1.832262939176426,NW_022145594.1:10279039-10284333,ECB-GENEPAGE-23028729,SPU_021618|Sp-Cep164L|SPU_010489|Sp-Cep164|SPU_011840|centrosomal protein 164kDa,partially curated,n/a,n/a,n/a,n/a
NW-022145594.1:10217505-10279136,14.58,9.63,6.87,14.69,LOC115920901,uncharacterized LOC115920901,2621,2621,100.0,NW_022145594.1:10253806-10256427,ECB-GENEPAGE-23028720,SPU_027102|Sp-Hypp_1197|SPU_010489,partially curated,n/a,n/a,n/a,n/a
NW-022145594.1:10217505-10279136,14.58,9.63,6.87,14.69,LOC115921460,uncharacterized LOC115921460,13484,13484,100.0,NW_022145594.1:10219879-10233363,ECB-GENEPAGE-23028711,SPU_010489,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29709311-29770196,16.28,22.72,12.37,11.42,LOC115929109,uncharacterized LOC115929109,1518,1410,92.88537549407114,NW_022145610.1:29709203-29710721,ECB-GENEPAGE-23144399,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145605.1:6573187-6632252,27.16,17.49,10.05,37.77,LOC115926347,uncharacterized LOC115926347,762,762,100.0,NW_022145605.1:6610700-6611462,ECB-GENEPAGE-23105919,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145605.1:6573187-6632252,27.16,17.49,10.05,37.77,LOC115926348,uncharacterized LOC115926348,762,762,100.0,NW_022145605.1:6615590-6616352,ECB-GENEPAGE-23105923,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145605.1:6573187-6632252,27.16,17.49,10.05,37.77,LOC105440739,homeobox protein MIXL1-like,3905,3905,100.0,NW_022145605.1:6627472-6631377,ECB-GENEPAGE-23105927,Sp-PropL|prophet of Pit-1-like|PROP1-like|Sp-mix/mixer/milk|Sp-Hbtf|SPU_004366,partially curated,n/a,n/a,n/a,"TF,TF_Homeo,TF_Homeo"
NW-022145605.1:6564895-6573101,16.91,18.67,7.07,18.11,LOC582567,acyl-CoA dehydrogenase family member 11,17006,8206,48.253557567917206,NW_022145605.1:6557029-6574035,ECB-GENEPAGE-23105913, acdh-11 |Sp-Acdh|SPU_025782|acy coA dehydrogenase family|LOC110987552,partially curated,n/a,n/a,n/a,n/a
